target_param,epoch,train_mae,valid_mae,minutes,lr,minutes:
inf,0,0.3070844755083267,0.3033857883945588,,0.002,4.6746984283129365
inf,1,0.17461822559009227,0.2422354077139208,,0.002,9.276818100611367
inf,2,0.14493807691977992,0.189512049238528,,0.002,13.860052367051447
inf,3,0.13415464091235982,0.1849054612459675,,0.002,18.444272561868036
inf,4,0.12115978765002122,0.16701390041458988,,0.002,23.045413386821746
inf,5,0.11326756273384955,0.16104096102137727,,0.002,27.637057868639626
inf,6,0.10767032945381697,0.14522955158064446,,0.002,32.228341921170546
inf,7,0.1023268650660462,0.14483867429437175,,0.002,36.197663438320156
inf,8,0.09893630479412867,0.13371957417938016,,0.002,40.73412345250448
inf,9,0.09598657972943407,0.1430885987656732,,0.002,45.310418335596715
inf,10,0.09347694273022528,0.1221386080067004,,0.002,49.906919968128214
inf,11,0.09035190383140826,0.1312399560645704,,0.002,54.51210635105769
inf,12,0.08850377917079456,0.1297482838553767,,0.002,59.11741460959117
inf,13,0.08713206677978963,0.12121585287874745,,0.002,63.77851810455322
inf,14,0.08494901586852066,0.12159629887150175,,0.002,68.37422798077266
inf,15,0.08354253377323342,0.1216221650040919,,0.002,72.98327503601709
inf,16,0.08727144924750548,0.12033155836885978,,0.002,77.5899414698283
inf,17,0.07425249435576267,0.10283327907804522,,0.001,82.23404110272728
inf,18,0.07295202129090939,0.10355893306193813,,0.001,86.81586750745774
inf,19,0.07219819166602584,0.10279164679588812,,0.001,91.40661454598109
inf,20,0.07140790032625498,0.1134728943147967,,0.001,95.98511201143265
inf,21,0.07071317281906155,0.0980708382783398,,0.001,100.38187062342962
inf,22,0.0702287423746413,0.09754503398172318,,0.001,104.29364683628084
inf,23,0.07009374667879027,0.10331227462137896,,0.001,108.20922114849093
inf,24,0.06885635861655015,0.1031090177355274,,0.001,112.11504945755004
inf,25,0.06872392449625958,0.09744710210830934,,0.001,116.02066271702448
inf,26,0.06822335092091575,0.0969553234115724,,0.001,120.05930982033414
inf,27,0.06804506673051658,0.10063976217662136,,0.001,124.66760429541272
inf,28,0.06721501008173145,0.0969990458219282,,0.001,129.17854013442994
inf,29,0.06314668343465173,0.0935207295321649,,0.0005,133.1070695956548
inf,30,0.0629340759152935,0.0913721627045062,,0.0005,137.01749577124914
inf,31,0.06254545187504723,0.09669921859618154,,0.0005,140.93471903006238
inf,32,0.06232861217739801,0.0916267048207022,,0.0005,144.85642365217208
inf,33,0.062124734776688416,0.0901931973714982,,0.0005,148.76770431598027
inf,34,0.061757595883473286,0.09530986593134944,,0.0005,152.67832880020143
inf,35,0.061641580295570465,0.08878147529978908,,0.0005,156.86535744667054
inf,36,0.0612835798883301,0.09091438100703303,,0.0005,161.05376528104142
inf,37,0.05917109278549824,0.08900919760907851,,0.00025,165.65473352273304
inf,38,0.05905055316108941,0.08877522654591069,,0.00025,170.25246102015174
inf,39,0.058848200902352314,0.08824936564891568,,0.00025,174.38449687957763
inf,40,0.05868722594954255,0.08801966280706465,,0.00025,178.3120536963145
inf,41,0.0585831218280228,0.08916882978331657,,0.00025,182.22628734906516
inf,42,0.05838792317327664,0.08831094926403417,,0.00025,186.13756336768466
inf,43,0.057333232855246184,0.08789215501277678,,0.000125,190.0515965938568
inf,44,0.05718024999782615,0.08702615624473943,,0.000125,193.95992290576302
inf,45,0.057081345435305936,0.08676480982572803,,0.000125,197.8643419067065
inf,46,0.05703347724234545,0.08659376119894371,,0.000125,201.7734362443288
inf,47,0.05694678553629196,0.08709331265380305,,0.000125,205.67250990470248
inf,48,0.05687910965939527,0.08680588523707082,,0.000125,209.58403395414356
inf,49,0.056774353788899265,0.0868413134688331,,0.000125,213.4908695379893
inf,50,0.05674628824272776,0.08703193453050427,,0.000125,217.39919261535007
inf,51,0.05668321985696431,0.08643754090993637,,0.000125,221.302801322937
inf,52,0.056056037946646535,0.08583087894705034,,6.25e-05,225.2119124492009
inf,53,0.056025074626426065,0.08596887944206115,,6.25e-05,229.11987398068106
inf,54,0.055958919724147266,0.08663011955157401,,6.25e-05,233.6634040117264
inf,55,0.05591625495406962,0.08596776149445966,,6.25e-05,238.26543813546502
inf,56,0.05589511117648814,0.08565497254171676,,6.25e-05,242.85845626990002
inf,57,0.05583595498832404,0.08589406155290147,,6.25e-05,247.4529471238454
inf,58,0.05551799207046455,0.08572378478223278,,3.125e-05,252.01550565958027
inf,59,0.0554850395527537,0.08572973431118072,,3.125e-05,256.5761082013448
inf,60,0.055475188743005235,0.08568521480887165,,3.125e-05,261.13108298381167
inf,61,0.055453382301036185,0.08582723909808743,,3.125e-05,265.71538606087364
inf,62,0.05543161848843135,0.08570994016143582,,3.125e-05,270.29069843292234
inf,63,0.05540062717476897,0.08574290465443365,,3.125e-05,274.87066962321603
inf,64,0.0552366539845488,0.0855279503570449,,1.5625e-05,279.45866434971487
inf,65,0.055217132928128236,0.08552318811416622,,1.5625e-05,284.02654120127363
inf,66,0.05520790446886587,0.08561059868624132,,1.5625e-05,288.2288059155146
inf,67,0.05518737969402699,0.08547191538157001,,1.5625e-05,292.1265044728915
