"","epoch","variable","MAE","experiment_name"
"1",0,"training",0.364987025718825,"with direction vectors"
"2",1,"training",0.191724586101623,"with direction vectors"
"3",2,"training",0.152539078914854,"with direction vectors"
"4",3,"training",0.138113012502712,"with direction vectors"
"5",4,"training",0.124452699048284,"with direction vectors"
"6",5,"training",0.119868732240112,"with direction vectors"
"7",6,"training",0.111458617321683,"with direction vectors"
"8",7,"training",0.105947099320203,"with direction vectors"
"9",8,"training",0.100819483359566,"with direction vectors"
"10",9,"training",0.0960528960553836,"with direction vectors"
"11",10,"training",0.0955126989574699,"with direction vectors"
"12",11,"training",0.093268525800836,"with direction vectors"
"13",12,"training",0.088302990105039,"with direction vectors"
"14",13,"training",0.082922713218947,"with direction vectors"
"15",14,"training",0.0804425468765914,"with direction vectors"
"16",15,"training",0.0772113505076248,"with direction vectors"
"17",16,"training",0.0745289824474487,"with direction vectors"
"18",17,"training",0.0730486728875446,"with direction vectors"
"19",18,"training",0.0709678191625526,"with direction vectors"
"20",19,"training",0.0692475606484854,"with direction vectors"
"21",20,"training",0.0672462246292533,"with direction vectors"
"22",21,"training",0.0659656002806922,"with direction vectors"
"23",22,"training",0.0644776591207128,"with direction vectors"
"24",23,"training",0.0636721049933854,"with direction vectors"
"25",24,"training",0.0628578144207084,"with direction vectors"
"26",25,"training",0.0611327159612167,"with direction vectors"
"27",26,"training",0.060514166826127,"with direction vectors"
"28",27,"training",0.062164720079348,"with direction vectors"
"29",28,"training",0.0594598952563739,"with direction vectors"
"30",29,"training",0.0577525964665099,"with direction vectors"
"31",30,"training",0.0571985775586923,"with direction vectors"
"32",31,"training",0.056459243268552,"with direction vectors"
"33",32,"training",0.0563006503780301,"with direction vectors"
"34",33,"training",0.0547408389350926,"with direction vectors"
"35",34,"training",0.0549750534790893,"with direction vectors"
"36",35,"training",0.0538856849976016,"with direction vectors"
"37",36,"training",0.05338191439039,"with direction vectors"
"38",37,"training",0.052013334146525,"with direction vectors"
"39",38,"training",0.0523088118557252,"with direction vectors"
"40",39,"training",0.0515295301402943,"with direction vectors"
"41",40,"training",0.0505623441043765,"with direction vectors"
"42",41,"training",0.0504578461718019,"with direction vectors"
"43",42,"training",0.0499075439368109,"with direction vectors"
"44",43,"training",0.0504140874599133,"with direction vectors"
"45",44,"training",0.0485711165476628,"with direction vectors"
"46",45,"training",0.048384122487563,"with direction vectors"
"47",46,"training",0.0492531691723867,"with direction vectors"
