"","epoch","variable","MAE","experiment_name"
"1",0,"training",0.350324321164645,"raw"
"2",1,"training",0.191095902241395,"raw"
"3",2,"training",0.155737769843958,"raw"
"4",3,"training",0.138692686572808,"raw"
"5",4,"training",0.128462879938628,"raw"
"6",5,"training",0.129314464115296,"raw"
"7",6,"training",0.116653556715851,"raw"
"8",7,"training",0.110766203653068,"raw"
"9",8,"training",0.107953241243497,"raw"
"10",9,"training",0.100637512781349,"raw"
"11",10,"training",0.0969383029415741,"raw"
"12",11,"training",0.0929370922244956,"raw"
"13",12,"training",0.0898956468415255,"raw"
"14",13,"training",0.0871350037677563,"raw"
"15",14,"training",0.0843295658607436,"raw"
"16",15,"training",0.0823903264052112,"raw"
"17",16,"training",0.07991557839365,"raw"
"18",17,"training",0.0777733472739629,"raw"
"19",18,"training",0.0766972574133164,"raw"
"20",19,"training",0.074564927328288,"raw"
"21",20,"training",0.0725797045723428,"raw"
"22",21,"training",0.0740677522969713,"raw"
"23",22,"training",0.0735937492109108,"raw"
"24",23,"training",0.070234712940494,"raw"
"25",24,"training",0.0681298017375982,"raw"
"26",25,"training",0.0667472871827701,"raw"
"27",26,"training",0.065752374991593,"raw"
"28",27,"training",0.0644751341162405,"raw"
"29",28,"training",0.0633116030963231,"raw"
"30",29,"training",0.0625732129119912,"raw"
"31",30,"training",0.0618321742310479,"raw"
"32",31,"training",0.0605638517922689,"raw"
"33",32,"training",0.0595393293211227,"raw"
"34",33,"training",0.0625457028960516,"raw"
"35",34,"training",0.0586628242498767,"raw"
"36",35,"training",0.0579577595822279,"raw"
"37",36,"training",0.0573040387579867,"raw"
"38",37,"training",0.0568727411461967,"raw"
"39",38,"training",0.0560263887020686,"raw"
"40",39,"training",0.0558158387058638,"raw"
"41",40,"training",0.0549586215883857,"raw"
"42",41,"training",0.0544480641155651,"raw"
"43",42,"training",0.0540899080968079,"raw"
"44",43,"training",0.0533486428239074,"raw"
"45",44,"training",0.0529882023196611,"raw"
"46",45,"training",0.0523455976684786,"raw"
"47",46,"training",0.0521495590671046,"raw"
"48",47,"training",0.0516663664871871,"raw"
"49",48,"training",0.0516949122644577,"raw"
"50",49,"training",0.0509778151385405,"raw"
"51",50,"training",0.0503966439103555,"raw"
"52",51,"training",0.0500882868889002,"raw"
"53",52,"training",0.0495376442116003,"raw"
"54",53,"training",0.0493189836419149,"raw"
"55",54,"training",0.0488244557611028,"raw"
"56",55,"training",0.0489665196022915,"raw"
"57",56,"training",0.0483351122776693,"raw"
"58",57,"training",0.0480579268613419,"raw"
"59",58,"training",0.0478085728682002,"raw"
"60",59,"training",0.0474353255909147,"raw"
"61",60,"training",0.0472053358192331,"raw"
"62",61,"training",0.0469654846178981,"raw"
"63",62,"training",0.0465398105870958,"raw"
"64",63,"training",0.0465277087684942,"raw"
"65",64,"training",0.0462589058423682,"raw"
"66",65,"training",0.0471922388933129,"raw"
"67",66,"training",0.0459254537743904,"raw"
"68",67,"training",0.045585702794891,"raw"
"69",68,"training",0.0451924201966874,"raw"
"70",69,"training",0.0451047586781718,"raw"
"71",70,"training",0.0447661202095859,"raw"
"72",71,"training",0.0444113035659034,"raw"
"73",72,"training",0.0442719731606528,"raw"
"74",73,"training",0.0441480347006933,"raw"
"75",74,"training",0.0438540289423419,"raw"
"76",75,"training",0.0436808045751198,"raw"
"77",76,"training",0.0433764623620233,"raw"
"78",77,"training",0.0433535198948884,"raw"
"79",78,"training",0.0430751401379065,"raw"
"80",79,"training",0.0429989330977144,"raw"
"81",80,"training",0.0425489014056419,"raw"
"82",81,"training",0.0426599907837943,"raw"
"83",82,"training",0.0422967479269341,"raw"
"84",83,"training",0.0418248466656698,"raw"
"85",84,"training",0.0418077466751753,"raw"
"86",85,"training",0.0415756006621387,"raw"
"87",86,"training",0.0418418094687847,"raw"
"88",87,"training",0.0412647828570455,"raw"
"89",88,"training",0.0413619648312335,"raw"
"90",89,"training",0.0409045724557848,"raw"
"91",90,"training",0.0411780268146628,"raw"
"92",91,"training",0.0405330428858012,"raw"
"93",92,"training",0.0403864795295491,"raw"
"94",93,"training",0.0404293308592497,"raw"
"95",94,"training",0.0404409418790188,"raw"
"96",95,"training",0.0402078802275408,"raw"
"97",96,"training",0.0399384448806177,"raw"
"98",97,"training",0.0428638163287338,"raw"
"99",98,"training",0.0412872170263602,"raw"
"100",99,"training",0.0407297003063217,"raw"
"101",100,"training",0.0407391236220826,"raw"
"102",101,"training",0.040022092309229,"raw"
"103",102,"training",0.0396593195613834,"raw"
"104",103,"training",0.0396227970403122,"raw"
"105",104,"training",0.0394958875008423,"raw"
"106",105,"training",0.0392153682575499,"raw"
"107",106,"training",0.039154384714532,"raw"
"108",107,"training",0.0388840154360566,"raw"
"109",108,"training",0.03890725284869,"raw"
"110",109,"training",0.0393009516045129,"raw"
"111",110,"training",0.0387211956298037,"raw"
"112",111,"training",0.0383413439341366,"raw"
"113",112,"training",0.0381321713088611,"raw"
"114",113,"training",0.0381771528753672,"raw"
"115",114,"training",0.0380217118612085,"raw"
"116",115,"training",0.0380539429091875,"raw"
"117",116,"training",0.0376368923248556,"raw"
"118",117,"training",0.0383809937412301,"raw"
"119",118,"training",0.0375230801625303,"raw"
"120",119,"training",0.0373471290855223,"raw"
"121",120,"training",0.0374537325689801,"raw"
"122",121,"training",0.0369915475733124,"raw"
"123",122,"training",0.0372400432809158,"raw"
"124",123,"training",0.0369915566033779,"raw"
"125",124,"training",0.0368834988138208,"raw"
"126",125,"training",0.0369638799414316,"raw"
"127",126,"training",0.0366161062525733,"raw"
"128",127,"training",0.0366479292088195,"raw"
"129",128,"training",0.0365048683303619,"raw"
"130",129,"training",0.0362395954222564,"raw"
"131",130,"training",0.036300953365711,"raw"
"132",131,"training",0.0361834993792639,"raw"
"133",132,"training",0.0359348812731338,"raw"
"134",133,"training",0.0366496938657711,"raw"
"135",134,"training",0.0358180816753064,"raw"
"136",135,"training",0.0358982629291848,"raw"
"137",136,"training",0.0355553981470315,"raw"
